date,revenue
2015-09-01,8164.36
2015-09-02,10496.62
2015-09-03,12284.1
2015-09-04,19353.98
2015-09-05,18215.5
2015-09-06,17641.72
2015-09-07,18488.86
2015-09-08,15517.41
2015-09-09,19087.07
2015-09-10,17956.21
2015-09-11,16927.56
2015-09-12,16600.26
2015-09-13,11918.92
2015-09-14,16106.72
2015-09-15,18857.34
2015-09-16,20030.9
2015-09-17,19149.32
2015-09-18,21434.94
2015-09-19,22243.26
2015-09-20,17640.4
2015-09-21,20535.1
2015-09-22,21473.11
2015-09-23,25004.49
2015-09-24,24338.25
2015-09-25,33900.909999999996
2015-09-26,30875.46
2015-09-27,31674.33
2015-09-28,31545.36
2015-09-29,22660.86
2015-09-30,11930.43
2015-10-01,10072.61
2015-10-02,21825.85
2015-10-03,20158.66
2015-10-04,14819.84
2015-10-05,17636.4
2015-10-06,18326.96
2015-10-07,21676.98
2015-10-08,20919.48
2015-10-09,20761.65
2015-10-10,19079.420000000002
2015-10-11,14409.9
2015-10-12,14831.18
2015-10-13,14200.64
2015-10-14,12524.93
2015-10-15,18107.87
2015-10-16,20979.85
2015-10-17,19760.91
2015-10-18,14267.08
2015-10-19,17722.83
2015-10-20,20979.25
2015-10-21,19597.42
2015-10-22,14475.46
2015-10-23,12043.91
2015-10-24,10973.76
2015-10-25,18273.27
2015-10-26,18262.170000000002
2015-10-27,16826.77
2015-10-28,16038.47
2015-10-29,18651.75
2015-10-30,15666.49
2015-10-31,8247.49
2015-11-01,7292.62
2015-11-02,5377.84
2015-11-03,5614.1
2015-11-04,6580.0
2015-11-05,6993.19
2015-11-06,8725.03
2015-11-07,7073.91
2015-11-08,6188.12
2015-11-09,4153.55
2015-11-10,4080.11
2015-11-11,5275.14
2015-11-12,4765.25
2015-11-13,4220.27
2015-11-14,4337.8
2015-11-15,3298.31
2015-11-16,2809.39
2015-11-17,4014.29
2015-11-18,8776.82
2015-11-19,8901.07
2015-11-20,13479.14
2015-11-21,8974.44
2015-11-22,3285.16
2015-11-23,10517.78
2015-11-24,11906.89
2015-11-25,12118.55
2015-11-26,8120.88
2015-11-27,6981.25
2015-11-28,6530.52
2015-11-29,5119.28
2015-11-30,1984.68
2015-12-01,2383.67
2015-12-02,3026.66
2015-12-03,3446.14
2015-12-04,6634.64
2015-12-05,16373.26
2015-12-06,17154.5
2015-12-07,13763.05
2015-12-08,4376.19
2015-12-09,3789.1
2015-12-10,4558.85
2015-12-11,4407.54
2015-12-12,3779.94
2015-12-13,2181.0
2015-12-14,1973.16
2015-12-15,1487.37
2015-12-16,1937.6
2015-12-17,2328.04
2015-12-18,3675.81
2015-12-19,3148.57
2015-12-20,2789.25
2015-12-21,2842.67
2015-12-22,2348.6
2015-12-23,2419.25
2015-12-24,3546.2599999999998
2015-12-25,4099.9
2015-12-26,7553.67
2015-12-27,10601.31
2015-12-28,13416.26
2015-12-29,17472.53
2015-12-30,18548.6
2015-12-31,21052.25
2016-01-01,16990.23
2016-01-02,15838.02
2016-01-03,10651.3
2016-01-04,10811.16
2016-01-05,4521.22
2016-01-06,4762.66
2016-01-07,3866.21
2016-01-08,3370.1
2016-01-09,3613.83
2016-01-10,3473.1
2016-01-11,2664.81
2016-01-12,3258.57
2016-01-13,2920.3
2016-01-14,4188.29
2016-01-15,5504.54
2016-01-16,6352.17
2016-01-17,4048.49
2016-01-18,3972.17
2016-01-19,9099.66
2016-01-20,9265.35
2016-01-21,7574.05
2016-01-22,5602.41
2016-01-23,6048.23
2016-01-24,4223.9
2016-01-25,5839.79
2016-01-26,5875.97
2016-01-27,5793.25
2016-01-28,6731.73
2016-01-29,6362.48
2016-01-30,6450.58
2016-01-31,4780.61
2016-02-01,4325.13
2016-02-02,3597.56
2016-02-03,5245.43
2016-02-04,6224.93
2016-02-05,8846.47
2016-02-06,13365.64
2016-02-07,12313.01
2016-02-08,13552.539999999999
2016-02-09,11530.02
2016-02-10,7763.85
2016-02-11,8577.03
2016-02-12,12161.15
2016-02-13,16314.53
2016-02-14,11882.01
2016-02-15,10190.75
2016-02-16,10128.87
2016-02-17,8603.53
2016-02-18,9780.79
2016-02-19,17193.09
2016-02-20,12734.32
2016-02-21,9204.22
2016-02-22,10183.95
2016-02-23,10868.19
2016-02-24,11862.25
2016-02-25,11515.66
2016-02-26,11732.6
2016-02-27,14386.93
2016-02-28,11633.18
2016-02-29,10902.93
2016-03-01,13443.3
2016-03-02,14053.51
2016-03-03,12880.14
2016-03-04,14526.4
2016-03-05,16178.05
2016-03-06,12157.95
2016-03-07,13378.11
2016-03-08,13710.21
2016-03-09,14365.49
2016-03-10,15006.63
2016-03-11,15859.28
2016-03-12,15421.34
2016-03-13,14993.63
2016-03-14,13690.34
2016-03-15,14272.12
2016-03-16,13494.38
2016-03-17,14510.01
2016-03-18,15539.16
2016-03-19,16804.61
2016-03-20,19145.73
2016-03-21,19569.8
2016-03-22,17798.14
2016-03-23,18601.8
2016-03-24,23058.73
2016-03-25,22464.29
2016-03-26,20809.12
2016-03-27,16966.19
2016-03-28,16226.94
2016-03-29,16877.82
2016-03-30,16960.08
2016-03-31,18550.91
2016-04-01,18575.97
2016-04-02,16811.94
2016-04-03,14032.38
2016-04-04,15937.99
2016-04-05,16170.72
2016-04-06,20584.73
2016-04-07,15595.92
2016-04-08,16571.21
2016-04-09,17985.12
2016-04-10,17082.66
2016-04-11,19486.25
2016-04-12,19771.08
2016-04-13,22823.35
2016-04-14,18040.94
2016-04-15,18695.92
2016-04-16,20345.31
2016-04-17,18818.7
2016-04-18,19357.59
2016-04-19,17264.42
2016-04-20,20512.06
2016-04-21,22033.99
2016-04-22,19862.36
2016-04-23,22434.24
2016-04-24,18926.21
2016-04-25,18454.65
2016-04-26,20605.4
2016-04-27,19959.82
2016-04-28,21511.43
2016-04-29,22273.7
2016-04-30,23540.11
2016-05-01,19287.38
2016-05-02,22278.43
2016-05-03,21224.87
2016-05-04,20710.05
2016-05-05,22983.48
2016-05-06,23627.18
2016-05-07,24551.71
2016-05-08,15371.64
2016-05-09,18654.81
2016-05-10,20913.92
2016-05-11,23076.75
2016-05-12,24446.64
2016-05-13,24713.45
2016-05-14,24473.8
2016-05-15,24151.27
2016-05-16,23335.18
2016-05-17,25342.56
2016-05-18,24834.4
2016-05-19,24533.92
2016-05-20,21523.97
2016-05-21,24067.68
2016-05-22,23086.52
2016-05-23,21529.63
2016-05-24,20857.4
2016-05-25,18423.48
2016-05-26,24595.14
2016-05-27,25693.26
2016-05-28,26702.06
2016-05-29,16185.24
2016-05-30,18904.4
2016-05-31,20687.34
2016-06-01,20873.71
2016-06-02,24319.1
2016-06-03,25395.01
2016-06-04,22889.83
2016-06-05,15684.34
2016-06-06,22756.38
2016-06-07,23350.54
2016-06-08,19597.86
2016-06-09,18156.53
2016-06-10,22927.56
2016-06-11,24043.21
2016-06-12,18657.48
2016-06-13,15095.55
2016-06-14,16383.74
2016-06-15,20873.92
2016-06-16,24664.02
2016-06-17,21438.66
2016-06-18,23034.58
2016-06-19,22689.0
2016-06-20,22680.420000000002
2016-06-21,22251.97
2016-06-22,20196.99
2016-06-23,14758.24
2016-06-24,21186.05
2016-06-25,21425.98
2016-06-26,16218.81
2016-06-27,19877.04
2016-06-28,22806.75
2016-06-29,22256.88
2016-06-30,23592.28
2016-07-01,23986.77
2016-07-02,21082.18
2016-07-03,22087.69
2016-07-04,23655.38
2016-07-05,24497.95
2016-07-06,25580.77
2016-07-07,24430.11
2016-07-08,25031.49
2016-07-09,24320.64
2016-07-10,24157.07
2016-07-11,25129.06
2016-07-12,24886.49
2016-07-13,25718.45
2016-07-14,25264.38
2016-07-15,25207.42
2016-07-16,25200.57
2016-07-17,23488.67
2016-07-18,24012.22
2016-07-19,24011.76
2016-07-20,23176.14
2016-07-21,25408.0
2016-07-22,22951.25
2016-07-23,23081.93
2016-07-24,22446.63
2016-07-25,23705.22
2016-07-26,24655.02
2016-07-27,24928.08
2016-07-28,23498.15
2016-07-29,22333.75
2016-07-30,23920.28
2016-07-31,23085.42
2016-08-01,22287.54
2016-08-02,25630.49
2016-08-03,25319.84
2016-08-04,26440.66
2016-08-05,25906.05
2016-08-06,27204.07
2016-08-07,25473.28
2016-08-08,26322.25
2016-08-09,26287.46
2016-08-10,26979.260000000002
2016-08-11,26299.28
2016-08-12,25836.29
2016-08-13,28321.7
2016-08-14,28914.57
2016-08-15,26958.56
2016-08-16,28846.58
2016-08-17,28443.76
2016-08-18,26797.010000000002
2016-08-19,27854.96
2016-08-20,26856.81
2016-08-21,26080.510000000002
2016-08-22,26061.33
2016-08-23,26376.32
2016-08-24,24639.579999999998
2016-08-25,25310.06
2016-08-26,25446.55
2016-08-27,24587.49
2016-08-28,25042.34
2016-08-29,24433.93
2016-08-30,23045.39
2016-08-31,23601.81
2016-09-01,25592.55
2016-09-02,25425.81
2016-09-03,24471.54
2016-09-04,23370.21
2016-09-05,23960.45
2016-09-06,25702.9
2016-09-07,25961.35
2016-09-08,27457.71
2016-09-09,27265.59
2016-09-10,27642.83
2016-09-11,25097.29
2016-09-12,23958.15
2016-09-13,27011.92
2016-09-14,27010.78
2016-09-15,29210.4
2016-09-16,28307.97
2016-09-17,27202.2
2016-09-18,23234.41
2016-09-19,27885.420000000002
2016-09-20,26625.93
2016-09-21,25314.57
2016-09-22,27331.62
2016-09-23,25075.91
2016-09-24,26260.44
2016-09-25,21807.26
2016-09-26,24863.03
2016-09-27,26716.71
2016-09-28,25936.2
2016-09-29,22868.15
2016-09-30,25327.47
2016-10-01,24185.41
2016-10-02,22082.8
2016-10-03,24863.98
2016-10-04,24139.04
2016-10-05,24275.56
2016-10-06,25878.41
2016-10-07,24956.62
2016-10-08,25241.99
2016-10-09,24005.92
2016-10-10,23538.97
2016-10-11,24069.96
2016-10-12,23580.4
2016-10-13,22894.18
2016-10-14,23543.5
2016-10-15,24212.04
2016-10-16,18336.79
2016-10-17,23121.16
2016-10-18,23496.31
2016-10-19,23330.95
2016-10-20,23217.39
2016-10-21,21995.15
2016-10-22,21285.19
2016-10-23,23165.57
2016-10-24,23588.62
2016-10-25,22399.49
2016-10-26,23423.2
2016-10-27,22714.33
2016-10-28,22916.04
2016-10-29,23404.19
2016-10-30,23279.329999999998
2016-10-31,22879.38
2016-11-01,18470.68
2016-11-02,20083.48
2016-11-03,19146.11
2016-11-04,19112.94
2016-11-05,19200.01
2016-11-06,17197.7
2016-11-07,26436.72
2016-11-08,28307.53
2016-11-09,27223.07
2016-11-10,21147.19
2016-11-11,20420.52
2016-11-12,20002.96
2016-11-13,16902.99
2016-11-14,17227.35
2016-11-15,15064.210000000001
2016-11-16,17044.07
2016-11-17,15728.69
2016-11-18,17405.48
2016-11-19,17390.81
2016-11-20,13356.33
2016-11-21,16827.41
2016-11-22,16211.93
2016-11-23,12897.16
2016-11-24,10916.43
2016-11-25,15864.16
2016-11-26,14193.73
2016-11-27,9538.17
2016-11-28,10683.87
2016-11-29,9939.97
2016-11-30,8635.07
2016-12-01,9397.42
2016-12-02,11713.94
2016-12-03,15742.65
2016-12-04,12708.29
2016-12-05,14716.79
2016-12-06,11191.23
2016-12-07,11895.71
2016-12-08,15918.37
2016-12-09,16950.92
2016-12-10,16730.0
2016-12-11,8109.49
2016-12-12,5502.09
2016-12-13,5782.97
2016-12-14,6036.37
2016-12-15,5822.05
2016-12-16,7424.47
2016-12-17,7429.54
2016-12-18,7350.14
2016-12-19,8601.03
2016-12-20,8424.83
2016-12-21,8977.59
2016-12-22,9625.37
2016-12-23,10970.710000000001
2016-12-24,13336.29
2016-12-25,14374.4
2016-12-26,15168.76
2016-12-27,21057.31
2016-12-28,21076.0
2016-12-29,22416.59
2016-12-30,25525.18
2016-12-31,25788.8
2017-01-01,22740.25
2017-01-02,18635.22
2017-01-03,17836.48
2017-01-04,16649.28
2017-01-05,14428.89
2017-01-06,11849.94
2017-01-07,11366.33
2017-01-08,9592.83
2017-01-09,9476.2
2017-01-10,11066.11
2017-01-11,10067.09
2017-01-12,9356.04
2017-01-13,10536.63
2017-01-14,9768.6
2017-01-15,7659.72
2017-01-16,9462.83
2017-01-17,9178.62
2017-01-18,16230.06
2017-01-19,13752.99
2017-01-20,14557.61
2017-01-21,13587.58
2017-01-22,12239.27
2017-01-23,10022.72
2017-01-24,10144.73
2017-01-25,11574.22
2017-01-26,11311.16
2017-01-27,10323.11
2017-01-28,10421.43
2017-01-29,7574.88
2017-01-30,7708.91
2017-01-31,8599.57
2017-02-01,9012.72
2017-02-02,10974.62
2017-02-03,12393.41
2017-02-04,12920.23
2017-02-05,11553.4
2017-02-06,10272.78
2017-02-07,11543.46
2017-02-08,11486.83
2017-02-09,13833.34
2017-02-10,15976.43
2017-02-11,15921.14
2017-02-12,15734.13
2017-02-13,19369.88
2017-02-14,20540.52
2017-02-15,20534.18
2017-02-16,19434.34
2017-02-17,18473.15
2017-02-18,18474.19
2017-02-19,15788.67
2017-02-20,17609.01
2017-02-21,17841.41
2017-02-22,20186.38
2017-02-23,18300.23
2017-02-24,13565.47
2017-02-25,16787.37
2017-02-26,15882.63
2017-02-27,19760.87
2017-02-28,17447.13
2017-03-01,16444.66
2017-03-02,17901.9
2017-03-03,18735.17
2017-03-04,17147.81
2017-03-05,15622.539999999999
2017-03-06,18927.33
2017-03-07,19303.98
2017-03-08,17124.18
2017-03-09,16425.68
2017-03-10,19135.16
2017-03-11,19929.46
2017-03-12,16038.02
2017-03-13,15854.92
2017-03-14,18822.92
2017-03-15,18344.54
2017-03-16,18499.03
2017-03-17,19706.48
2017-03-18,20943.13
2017-03-19,20384.24
2017-03-20,19567.41
2017-03-21,19378.98
2017-03-22,16505.29
2017-03-23,18393.74
2017-03-24,21471.46
2017-03-25,22131.96
2017-03-26,15784.19
2017-03-27,19832.47
2017-03-28,19845.53
2017-03-29,18404.01
2017-03-30,20660.82
2017-03-31,21849.76
2017-04-01,22838.81
2017-04-02,21201.44
2017-04-03,25400.53
2017-04-04,24938.06
2017-04-05,24944.29
2017-04-06,26697.54
2017-04-07,26781.73
2017-04-08,26714.48
2017-04-09,24365.37
2017-04-10,27858.25
2017-04-11,28382.99
2017-04-12,27808.94
2017-04-13,29511.49
2017-04-14,28990.31
2017-04-15,27970.670000000002
2017-04-16,28303.09
2017-04-17,26848.71
2017-04-18,24444.58
2017-04-19,27047.63
2017-04-20,27642.1
2017-04-21,26880.38
2017-04-22,27337.81
2017-04-23,22071.3
2017-04-24,25668.89
2017-04-25,25562.87
2017-04-26,26786.72
2017-04-27,27042.07
2017-04-28,28599.329999999998
2017-04-29,29148.22
2017-04-30,28533.32
2017-05-01,25926.34
2017-05-02,24331.04
2017-05-03,26327.19
2017-05-04,27702.36
2017-05-05,28618.72
2017-05-06,28435.89
2017-05-07,26229.78
2017-05-08,23990.48
2017-05-09,26307.52
2017-05-10,28391.079999999998
2017-05-11,28760.87
2017-05-12,29561.37
2017-05-13,30079.489999999998
2017-05-14,29811.22
2017-05-15,27330.59
2017-05-16,29460.39
2017-05-17,29696.08
2017-05-18,30310.37
2017-05-19,31010.01
2017-05-20,32010.63
2017-05-21,30588.97
2017-05-22,30973.11
2017-05-23,30874.73
2017-05-24,29577.86
2017-05-25,29772.12
2017-05-26,30078.91
2017-05-27,29369.16
2017-05-28,24369.97
2017-05-29,22678.04
2017-05-30,23382.68
2017-05-31,25334.88
2017-06-01,25913.72
2017-06-02,28701.35
2017-06-03,28406.21
2017-06-04,26179.19
2017-06-05,28703.69
2017-06-06,29797.15
2017-06-07,29802.5
2017-06-08,30718.16
2017-06-09,30296.92
2017-06-10,29218.14
2017-06-11,25133.32
2017-06-12,26610.32
2017-06-13,26137.91
2017-06-14,27339.41
2017-06-15,28351.579999999998
2017-06-16,26982.8
2017-06-17,27840.27
2017-06-18,23952.15
2017-06-19,26080.71
2017-06-20,29377.02
2017-06-21,30219.02
2017-06-22,28230.49
2017-06-23,26147.39
2017-06-24,25791.74
2017-06-25,25859.4
2017-06-26,27289.73
2017-06-27,24040.86
2017-06-28,26175.23
2017-06-29,26880.5
2017-06-30,26829.67
2017-07-01,26749.5
2017-07-02,25291.97
2017-07-03,26263.36
2017-07-04,26846.92
2017-07-05,27500.64
2017-07-06,26453.37
2017-07-07,26536.89
2017-07-08,26324.27
2017-07-09,26736.85
2017-07-10,27541.89
2017-07-11,27371.78
2017-07-12,27581.98
2017-07-13,27384.83
2017-07-14,27231.82
2017-07-15,26086.19
2017-07-16,26790.03
2017-07-17,27277.1
2017-07-18,27048.0
2017-07-19,27089.69
2017-07-20,27528.41
2017-07-21,26900.11
2017-07-22,27773.04
2017-07-23,28529.21
2017-07-24,28269.45
2017-07-25,30271.32
2017-07-26,29053.39
2017-07-27,28666.579999999998
2017-07-28,28474.96
2017-07-29,27430.82
2017-07-30,25025.11
2017-07-31,27439.71
2017-08-01,27807.6
2017-08-02,30834.51
2017-08-03,29717.16
2017-08-04,30198.06
2017-08-05,28726.78
2017-08-06,28999.41
2017-08-07,31009.31
2017-08-08,31120.66
2017-08-09,30995.25
2017-08-10,31190.44
2017-08-11,31774.7
2017-08-12,32167.37
2017-08-13,28831.02
2017-08-14,31507.95
2017-08-15,31345.68
2017-08-16,30759.89
2017-08-17,30259.26
2017-08-18,30230.9
2017-08-19,29193.57
2017-08-20,28685.0
2017-08-21,28493.78
2017-08-22,28287.02
2017-08-23,29063.73
2017-08-24,29551.1
2017-08-25,30051.85
2017-08-26,29465.21
2017-08-27,25165.48
2017-08-28,26796.17
2017-08-29,26675.68
2017-08-30,24394.42
2017-08-31,27278.39
